MuestreoID,ID,diam_mayor,Tipo
1,2,3.95,PR-PRO
1,2,4.36,PR-PRO
1,2,3.1,PR-PRO
1,2,3.65,PR-PRO
1,2,2.39,PR-PRO
1,2,3.04,PR-PRO
1,2,3.7,PR-PRO
1,2,3.17,PR-PRO
1,2,3.27,PR-PRO
1,2,2.99,PR-PRO
1,2,3.39,PR-PRO
1,2,3.75,PR-PRO
1,2,2.88,PR-PRO
1,2,3.27,PR-PRO
1,2,3.68,PR-PRO
1,2,3.7,PR-PRO
1,2,4.33,PR-PRO
1,2,2.7,PR-PRO
1,2,3.5,PR-PRO
1,2,2.2,PR-PRO
1,2,2.58,PR-PRO
1,2,2.48,PR-PRO
1,2,3.84,PR-PRO
1,2,2.4,PR-PRO
1,2,2.2,PR-PRO
1,2,2.2,PR-PRO
1,2,4.68,PR-PRO
1,2,3.43,PR-PRO
1,2,3.19,PR-PRO
1,2,2.3,PR-PRO
1,3,3.5,PR-LIM
1,3,3.15,PR-LIM
1,3,3.29,PR-LIM
1,3,2.61,PR-LIM
1,3,4.61,PR-LIM
1,3,2.34,PR-LIM
1,3,3.79,PR-LIM
1,3,2.87,PR-LIM
1,3,2.83,PR-LIM
1,3,3.32,PR-LIM
1,3,3.13,PR-LIM
1,3,3.64,PR-LIM
1,3,3.47,PR-LIM
1,3,3.52,PR-LIM
1,3,3.21,PR-LIM
1,3,3.8,PR-LIM
1,3,3.6,PR-LIM
1,3,3.09,PR-LIM
1,3,2.63,PR-LIM
1,3,4.11,PR-LIM
1,3,3.14,PR-LIM
1,3,4.21,PR-LIM
1,3,3.13,PR-LIM
1,3,2.94,PR-LIM
1,3,3.43,PR-LIM
1,3,3.6,PR-LIM
1,3,3.68,PR-LIM
1,3,3.57,PR-LIM
1,3,3.48,PR-LIM
1,3,4.54,PR-LIM
1,4,4.96,PR-FUE
1,4,2,PR-FUE
1,4,2.39,PR-FUE
1,4,1.73,PR-FUE
1,4,2.12,PR-FUE
1,4,4.67,PR-FUE
2,6,6.62,PR-LIM
2,6,3.02,PR-LIM
2,6,1.61,PR-LIM
2,6,2.06,PR-LIM
2,6,1.18,PR-LIM
2,6,2.9,PR-LIM
2,6,4.99,PR-LIM
2,6,1.97,PR-LIM
2,6,5.9,PR-LIM
2,6,5,PR-LIM
2,6,4.64,PR-LIM
2,6,5,PR-LIM
2,6,5.78,PR-LIM
2,6,4.25,PR-LIM
2,6,4.3,PR-LIM
2,7,4.06,PR-PRO
2,7,3.95,PR-PRO
2,7,3.93,PR-PRO
2,7,3.94,PR-PRO
2,7,3.6,PR-PRO
2,7,3.98,PR-PRO
2,7,4.35,PR-PRO
2,7,3.87,PR-PRO
2,7,3.36,PR-PRO
2,7,3.37,PR-PRO
2,7,3.94,PR-PRO
2,7,4,PR-PRO
2,7,3.26,PR-PRO
2,7,3.58,PR-PRO
2,7,3.72,PR-PRO
2,7,3.78,PR-PRO
2,7,1.43,PR-PRO
2,7,3.77,PR-PRO
2,7,3.45,PR-PRO
2,7,1.73,PR-PRO
2,7,3.63,PR-PRO
2,7,3.61,PR-PRO
2,7,3.73,PR-PRO
2,7,3.79,PR-PRO
2,7,3.96,PR-PRO
2,7,3.7,PR-PRO
2,7,3.23,PR-PRO
2,7,2.95,PR-PRO
2,7,3.41,PR-PRO
2,7,2.98,PR-PRO
